-0.010101 	0.026791 	335.275 	5.64187e-10 	0 	1.16066 	0.298638
-0.0353535 	0.0242658 	334.308 	5.13644e-10 	0 	1.15191 	0.298299
-0.0606061 	0.0222938 	333.517 	4.72611e-10 	0 	1.14092 	0.29772
-0.0858586 	0.0206177 	332.806 	4.366e-10 	0 	1.12792 	0.297046
-0.111111 	0.0188856 	332.095 	3.98781e-10 	0 	1.11168 	0.296241
-0.136364 	0.0174828 	331.473 	3.67051e-10 	0 	1.09151 	0.295354
-0.161616 	0.0162227 	330.881 	3.38176e-10 	0 	1.06949 	0.294396
-0.186869 	0.0151386 	330.327 	3.12827e-10 	0 	1.04518 	0.293351
-0.212121 	0.0141698 	329.865 	2.89974e-10 	0 	1.01842 	0.292197
-0.237374 	0.0133916 	329.492 	2.71165e-10 	0 	0.98738 	0.291029
-0.262626 	0.0126134 	329.12 	2.52356e-10 	0 	0.956341 	0.28986
-0.287879 	0.0118343 	328.746 	2.33517e-10 	0 	0.925244 	0.288707
-0.313131 	0.0110486 	328.442 	2.14529e-10 	0 	0.886964 	0.287481
-0.338384 	0.0104475 	328.258 	1.99841e-10 	0 	0.842315 	0.286125
-0.363636 	0.00984641 	328.075 	1.85152e-10 	0 	0.797665 	0.284769
-0.388889 	0.00924532 	327.892 	1.70464e-10 	0 	0.753016 	0.283413
-0.414141 	0.00865275 	327.775 	1.56405e-10 	0 	0.70201 	0.281936
-0.439394 	0.00819058 	327.729 	1.45611e-10 	0 	0.645054 	0.280428
-0.464646 	0.00772841 	327.684 	1.34817e-10 	0 	0.588099 	0.27892
-0.489899 	0.00726624 	327.638 	1.24023e-10 	0 	0.531143 	0.277412
-0.515152 	0.00682136 	327.69 	1.14133e-10 	0 	0.468024 	0.275962
-0.540404 	0.00647421 	327.826 	1.06697e-10 	0 	0.399676 	0.274525
-0.565657 	0.00612705 	327.963 	9.92622e-11 	0 	0.331328 	0.273087
-0.590909 	0.0057799 	328.1 	9.1827e-11 	0 	0.26298 	0.27165
-0.616162 	0.00545576 	328.396 	8.54198e-11 	0 	0.189111 	0.270578
-0.641414 	0.00520389 	328.813 	8.08075e-11 	0 	0.110919 	0.269588
-0.666667 	0.00495201 	329.23 	7.61953e-11 	0 	0.0327261 	0.268598
-0.691919 	0.00470013 	329.647 	7.1583e-11 	0 	-0.0454663 	0.267609
-0.717172 	0.00448804 	330.248 	6.82391e-11 	0 	-0.124439 	0.267147
-0.742424 	0.00433908 	330.969 	6.6351e-11 	0 	-0.204107 	0.266765
-0.767677 	0.00419013 	331.691 	6.44629e-11 	0 	-0.283775 	0.266382
-0.792929 	0.00404118 	332.413 	6.25748e-11 	0 	-0.363443 	0.265999
-0.818182 	0.00393418 	333.293 	6.18567e-11 	0 	-0.437015 	0.266312
-0.843434 	0.003874 	334.263 	6.21463e-11 	0 	-0.50678 	0.266703
-0.868687 	0.00381383 	335.234 	6.2436e-11 	0 	-0.576545 	0.267094
-0.893939 	0.00375365 	336.204 	6.27256e-11 	0 	-0.64631 	0.267485
-0.919192 	0.00372817 	337.331 	6.38464e-11 	0 	-0.703731 	0.268748
-0.944444 	0.00373211 	338.537 	6.55144e-11 	0 	-0.753866 	0.270213
-0.969697 	0.00373604 	339.742 	6.71824e-11 	0 	-0.804001 	0.271679
-0.994949 	0.00373998 	340.948 	6.88503e-11 	0 	-0.854137 	0.273144
-1.0202 	0.00377867 	342.329 	7.10582e-11 	0 	-0.885441 	0.275708
-1.04545 	0.00383994 	343.792 	7.35282e-11 	0 	-0.906264 	0.278728
-1.07071 	0.00390121 	345.255 	7.59981e-11 	0 	-0.927086 	0.281748
-1.09596 	0.00396248 	346.718 	7.8468e-11 	0 	-0.947908 	0.284768
-1.12121 	0.00403879 	348.427 	8.07942e-11 	0 	-0.946283 	0.28906
-1.14646 	0.00412249 	350.248 	8.29738e-11 	0 	-0.932898 	0.294071
-1.17172 	0.00420619 	352.07 	8.51535e-11 	0 	-0.919513 	0.299083
-1.19697 	0.00428989 	353.891 	8.73332e-11 	0 	-0.906128 	0.304094
-1.22222 	0.00438211 	356.063 	8.80382e-11 	0 	-0.870454 	0.310166
-1.24747 	0.0044766 	358.386 	8.79949e-11 	0 	-0.824031 	0.316982
-1.27273 	0.00457109 	360.708 	8.79517e-11 	0 	-0.777607 	0.323798
-1.29798 	0.00466558 	363.031 	8.79084e-11 	0 	-0.731184 	0.330615
-1.32323 	0.00481601 	365.877 	8.3663e-11 	0 	-0.662569 	0.337471
-1.34848 	0.00497469 	368.821 	7.81745e-11 	0 	-0.586797 	0.344831
-1.37374 	0.00513337 	371.764 	7.2686e-11 	0 	-0.511025 	0.352191
-1.39899 	0.00529205 	374.708 	6.71975e-11 	0 	-0.435253 	0.359551
-1.42424 	0.00527132 	378.817 	5.38358e-11 	0 	-0.342879 	0.365032
-1.44949 	0.00519785 	383.4 	3.7818e-11 	0 	-0.242546 	0.370195
-1.47475 	0.00503451 	386.821 	2.49441e-11 	0 	-0.150105 	0.293038
-1.5 	0.00484408 	389.919 	1.28311e-11 	0 	-0.0598067 	0.19177
